NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-144685474491,113,14409,TROUBLE CALL,31.681635,EN VIVO,1,0.8,1,1,1,0
1-144701779692,388,14909,FISCALIZACIÓN ESPECIAL,0.006138,EN VIVO,,,,,,1
1-144234736672,113,28102,INSTALACIÓN,45.505295,POSTERIOR,0,0.666666667,,,1,0
1-144752067135,135,1361,TROUBLE CALL,48.924033,EN VIVO,1,1,1,1,1,0
1-144622927911,135,1361,TROUBLE CALL,38.053414,POSTERIOR,1,1,,,1,0
1-144404848980,198,701,TROUBLE CALL,47.659181,POSTERIOR,1,1,,,1,0
1-144747004310,198,701,TROUBLE CALL,24.545577,EN VIVO,1,1,1,1,0.833333333,0
1-143943331608,108,14406,CAMBIO TOTAL DE ACOMETIDA,0.004591,POSTERIOR,1,1,,,1,0
1-143837465522,388,663,INSTALACIÓN,9.206493,POSTERIOR,1,0.833333333,,,1,0
1-144219722286,171,8221,INSTALACIÓN,33.67793,POSTERIOR,0,0.833333333,,,1,0
1-143751639536,152,2631,INSTALACIÓN,3.35555,POSTERIOR,1,0.833333333,,,0,0
1-144184981613,156,5990,INSTALACIÓN,55.963943,POSTERIOR,1,0.833333333,,,0,0
1-144560288996,161,10287,FISCALIZACIÓN ESPECIAL,0.008032,EN VIVO,,,,,,1
1-144646947494,148,1606,FISCALIZACIÓN ESPECIAL,0.004033,EN VIVO,,,,,,0
1-143258265297,151,1575,TROUBLE CALL,39.316195,POSTERIOR,1,1,,,1,0
1-144351781866,172,700,INSTALACIÓN,26.485594,POSTERIOR,0,0.428571429,,,1,0
1-144699968023,143,696,TROUBLE CALL,12.037518,EN VIVO,1,1,1,1,0.833333333,0
1-144789601295,403,21262,INSTALACIÓN,57.015676,EN VIVO,1,1,1,1,1,0
1-143249891274,156,5990,INSTALACIÓN,17.306518,POSTERIOR,1,0.666666667,,,1,0
1-144690679773,139,706,TROUBLE CALL,1.251236,EN VIVO,1,1,1,1,1,1
1-142795392228,388,14909,TROUBLE CALL,50.763999,POSTERIOR,1,1,,,1,0
1-144007929616,139,706,TROUBLE CALL,11.913689,POSTERIOR,1,0.333333333,,,0.5,0
1-144789716873,242,12002,TROUBLE CALL,37.063791,EN VIVO,1,1,1,1,0.833333333,0
1-143604987222,245,10546,INSTALACIÓN,35.950663,POSTERIOR,1,1,,,0,0
1-144706184801,178,712,TROUBLE CALL,48.162719,EN VIVO,1,1,1,1,1,0
1-144380667458,112,705,INSTALACIÓN,17.416394,POSTERIOR,1,0.833333333,,,1,0
1-144262728252,388,14909,INSTALACIÓN,13.565955,POSTERIOR,1,1,,,1,0
1-142299806045,347,1786,INSTALACIÓN,23.032084,POSTERIOR,1,0.5,,,1,0
1-144184708823,201,703,TROUBLE CALL,21.944525,POSTERIOR,1,1,,,1,0
1-144671613281,403,21262,TROUBLE CALL,2.792669,EN VIVO,1,1,1,1,1,1
1-143951024226,139,706,TROUBLE CALL,9.897223,POSTERIOR,1,0,,,1,0
1-143466234126,151,1575,INSTALACIÓN,17.037225,POSTERIOR,1,0.833333333,,,0,0
1-144216207202,166,14216,INSTALACIÓN,23.082216,POSTERIOR,1,0.666666667,,,1,0
1-142906387360,347,3561,INSTALACIÓN,7.20238,POSTERIOR,1,0.5,,,1,0
1-144194790308,113,28102,CAMBIO TOTAL DE ACOMETIDA,0.000377,POSTERIOR,1,1,,,1,0
1-142490761582,198,701,INSTALACIÓN,26.648556,POSTERIOR,1,1,,,1,0
1-144537695853,112,705,TROUBLE CALL,35.546122,EN VIVO,1,1,1,1,0.833333333,0
1-144622789437,118,14372,TROUBLE CALL,42.537087,POSTERIOR,1,1,,,1,0
1-144692916411,118,14372,TROUBLE CALL,29.003631,EN VIVO,1,1,1,1,1,0
1-144645193326,201,703,TROUBLE CALL,41.53487,EN VIVO,1,1,1,1,1,0
1-144707596688,143,696,TROUBLE CALL,44.816546,EN VIVO,1,1,1,1,0.833333333,0
1-144622325526,388,14909,FISCALIZACIÓN ESPECIAL,0.000551,POSTERIOR,,,,,,0
1-144568535803,195,22161,FISCALIZACIÓN ESPECIAL,0.000216,POSTERIOR,,,,,,0
1-143554618476,167,8002,TROUBLE CALL,26.303719,POSTERIOR,1,1,,,1,0
1-144698943818,167,8516,TROUBLE CALL,52.559745,EN VIVO,1,1,1,1,1,0
1-144647812056,166,10278,FISCALIZACIÓN ESPECIAL,0.006233,POSTERIOR,,,,,,0
1-143793622813,166,14216,TROUBLE CALL,21.392301,POSTERIOR,1,1,,,1,0
1-144023601235,113,28102,TROUBLE CALL,31.023525,POSTERIOR,1,1,,,1,0
1-144702238903,108,14406,FISCALIZACIÓN ESPECIAL,0.00036,EN VIVO,,,,,,1
1-144661749364,237,2858,FISCALIZACIÓN ESPECIAL,0.034222,EN VIVO,,,,,,1
1-144684244472,398,15954,INSTALACIÓN,43.207244,POSTERIOR,1,1,,,1,0
1-144628305183,245,10546,FISCALIZACIÓN ESPECIAL,0.000329,POSTERIOR,,,,,,0
1-144684083221,108,14406,FISCALIZACIÓN ESPECIAL,0.003279,EN VIVO,,,,,,1
1-144646386960,198,701,TROUBLE CALL,59.708371,EN VIVO,1,1,1,1,0.833333333,0
1-144739873032,178,712,TROUBLE CALL,3.404013,EN VIVO,1,1,1,1,1,1
1-144453580324,157,11964,TROUBLE CALL,10.556752,POSTERIOR,1,1,,,1,0
1-143740260777,113,28102,CAMBIO TOTAL DE ACOMETIDA,0.000212,POSTERIOR,1,1,,,1,0
1-144724636102,143,696,FISCALIZACIÓN ESPECIAL,0.008972,POSTERIOR,,,,,,0
1-144724636102,143,696,TROUBLE CALL,15.074092,POSTERIOR,1,1,,,1,0
1-142885304698,113,28102,TROUBLE CALL,15.555458,POSTERIOR,1,1,,,1,0
1-144848681018,279,14227,TROUBLE CALL,19.484747,POSTERIOR,1,1,,,1,0
1-145132755410,388,663,TROUBLE CALL,44.223428,EN VIVO,1,1,1,1,1,0
1-145142093593,97,704,FISCALIZACIÓN ESPECIAL,0.00048,EN VIVO,,,,,,1
1-145142093593,97,704,FISCALIZACIÓN ESPECIAL,0.004874,EN VIVO,,,,,,1
1-142419030496,305,14228,TROUBLE CALL,18.275418,POSTERIOR,1,1,,,1,0
1-142816405383,151,1575,TROUBLE CALL,49.151482,POSTERIOR,1,1,,,1,0
1-144784005688,279,14227,TROUBLE CALL,26.048321,POSTERIOR,1,1,,,1,0
1-145067962525,156,12578,CAMBIO TOTAL DE ACOMETIDA,0.000339,POSTERIOR,1,0.75,,,1,0
1-145099513903,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.000261,POSTERIOR,0,0.666666667,,,1,0
1-145099513903,161,3350,FISCALIZACIÓN ESPECIAL,0.001231,POSTERIOR,,,,,,0
1-144955313282,388,14909,FISCALIZACIÓN ESPECIAL,0.000618,EN VIVO,,,,,,1
1-145042245541,156,2530,INSTALACIÓN,19.640685,POSTERIOR,1,1,,,1,0
1-144849555853,156,5990,INSTALACIÓN,45.104749,POSTERIOR,1,1,,,1,0
1-145070515366,171,8221,FISCALIZACIÓN ESPECIAL,0.005791,EN VIVO,,,,,,1
1-145096579313,161,3350,TROUBLE CALL,6.566227,EN VIVO,1,1,1,1,1,1
1-144691041122,403,21262,INSTALACIÓN,47.23254,POSTERIOR,1,1,,,1,0
1-145096499646,245,10546,TROUBLE CALL,46.423486,EN VIVO,1,1,1,1,1,0
1-145064547331,154,717,TROUBLE CALL,10.74456,EN VIVO,0.8,1,0.666666667,1,0.833333333,0
1-143436681201,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.000541,POSTERIOR,1,1,,,1,0
1-143832205312,113,14409,TROUBLE CALL,55.651519,POSTERIOR,1,1,,,1,0
1-143830592872,161,3350,FISCALIZACIÓN ESPECIAL,0.007996,POSTERIOR,,,,,,0
1-144972097912,195,22161,FISCALIZACIÓN ESPECIAL,0.003877,POSTERIOR,,,,,,0
1-144762089069,156,5990,INSTALACIÓN,34.880676,POSTERIOR,1,1,,,1,0
1-145105721859,388,14909,TROUBLE CALL,25.072491,POSTERIOR,1,1,,,1,0
1-144768429612,195,22161,FISCALIZACIÓN ESPECIAL,0.004972,POSTERIOR,,,,,,0
1-144201218775,171,8221,TROUBLE CALL,17.499431,POSTERIOR,1,0.333333333,,,1,0
1-144809502162,166,14216,INSTALACIÓN,49.724376,POSTERIOR,1,1,,,1,0
1-145137019988,142,19343,TROUBLE CALL,31.964838,EN VIVO,1,1,1,1,1,0
1-144633849000,347,1786,INSTALACIÓN,17.920676,POSTERIOR,1,1,,,1,0
1-145059342607,388,663,TROUBLE CALL,8.256539,EN VIVO,1,1,1,1,1,1
1-144606281479,196,19361,TROUBLE CALL,31.268807,POSTERIOR,1,1,,,1,0
1-145069015957,237,2858,TROUBLE CALL,36.463616,EN VIVO,1,1,1,1,1,0
1-144756726188,347,1786,INSTALACIÓN,7.629683,POSTERIOR,0,0.833333333,,,1,0
1-144921740676,196,19361,TROUBLE CALL,41.510445,POSTERIOR,1,0.666666667,,,1,0
1-145061976948,167,8002,TROUBLE CALL,29.083261,POSTERIOR,1,1,,,1,0
1-145063719060,113,14409,TROUBLE CALL,59.26247,POSTERIOR,1,0.666666667,,,1,0
1-145147197548,112,705,FISCALIZACIÓN ESPECIAL,0.007824,EN VIVO,,,,,,1
