NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-143908456662,154,717,INSTALACIÓN,47.266081,POSTERIOR,0,0.333333333,,,1,0
1-145453413942,151,1575,INSTALACIÓN,45.310609,POSTERIOR,1,1,,,0,0
1-145755861123,167,8516,FISCALIZACIÓN ESPECIAL,0.037314,EN VIVO,,,,,,1
1-145755861123,167,8516,FISCALIZACIÓN ESPECIAL,0.000417,EN VIVO,,,,,,1
1-144861038344,156,5990,INSTALACIÓN,18.827301,POSTERIOR,1,1,,,1,0
1-145976328913,140,718,FISCALIZACIÓN ESPECIAL,0.035819,EN VIVO,,,,,,1
1-145955659750,178,712,TROUBLE CALL,53.436932,EN VIVO,1,1,1,1,1,0
1-145001936558,347,1786,FISCALIZACIÓN ESPECIAL,0.000954,POSTERIOR,,,,,,0
1-145300872052,156,12578,INSTALACIÓN,43.012985,POSTERIOR,1,1,,,0,0
1-145263679012,242,12002,INSTALACIÓN,4.574696,POSTERIOR,1,1,,,1,0
1-144735817974,156,5990,INSTALACIÓN,22.244695,POSTERIOR,1,1,,,1,0
1-145949721014,201,703,TROUBLE CALL,44.275626,EN VIVO,1,1,1,1,1,0
1-145500084042,233,715,INSTALACIÓN,45.06755,POSTERIOR,1,1,,,1,0
1-145965434312,148,1606,FISCALIZACIÓN ESPECIAL,0.002257,EN VIVO,,,,,,1
1-145965434312,148,1606,INSTALACIÓN,1.482781,EN VIVO,1,1,1,1,1,1
1-145209036652,245,10546,INSTALACIÓN,44.765677,POSTERIOR,1,1,,,1,0
1-145724713932,233,715,FISCALIZACIÓN ESPECIAL,0.004604,EN VIVO,,,,,,1
1-145605472243,140,718,TROUBLE CALL,38.587764,POSTERIOR,1,1,,,1,0
1-145943149814,242,716,TROUBLE CALL,18.983532,EN VIVO,1,1,1,1,1,0
1-145595229082,139,706,INSTALACIÓN,44.328828,POSTERIOR,1,0.833333333,,,1,0
1-145979966461,139,706,FISCALIZACIÓN ESPECIAL,0.02419,EN VIVO,,,,,,1
1-145696863996,113,14409,CAMBIO TOTAL DE ACOMETIDA,0.000655,POSTERIOR,1,0.666666667,,,1,0
1-145982121396,109,24323,TROUBLE CALL,58.651621,POSTERIOR,1,1,,,1,0
1-145664101113,108,14406,FISCALIZACIÓN ESPECIAL,0.002498,EN VIVO,,,,,,1
1-145664101113,108,14406,FISCALIZACIÓN ESPECIAL,0.003284,EN VIVO,,,,,,1
1-145664101113,108,14406,FISCALIZACIÓN ESPECIAL,0.000464,EN VIVO,,,,,,1
1-145927880974,388,7398,TROUBLE CALL,18.990764,EN VIVO,1,1,1,1,1,0
1-145722976533,156,5990,INSTALACIÓN,28.329028,POSTERIOR,1,0.833333333,,,1,0
1-145764994727,143,696,INSTALACIÓN,25.665002,POSTERIOR,1,0.833333333,,,1,0
1-145984746610,167,8002,TROUBLE CALL,17.6915,EN VIVO,1,1,1,1,1,0
1-145962872239,398,15954,TROUBLE CALL,47.278008,EN VIVO,1,1,1,1,1,0
1-145884409144,142,19343,CAMBIO TOTAL DE ACOMETIDA,0.000457,POSTERIOR,1,0.666666667,,,1,0
1-145984137893,97,704,TROUBLE CALL,52.280933,EN VIVO,1,1,1,1,1,0
1-145957048611,398,15954,TROUBLE CALL,51.019613,EN VIVO,1,1,1,1,1,0
1-145705307062,148,1606,INSTALACIÓN,26.633709,EN VIVO,1,1,1,1,1,0
1-144068822235,347,1786,INSTALACIÓN,33.423992,POSTERIOR,1,1,,,1,0
1-145974454547,167,8002,TROUBLE CALL,3.076067,EN VIVO,1,1,0.666666667,1,1,0
1-145900697602,388,7398,FISCALIZACIÓN ESPECIAL,0.000506,POSTERIOR,,,,,,0
1-145979342921,198,701,TROUBLE CALL,50.14571,EN VIVO,1,1,1,1,0.833333333,0
1-145998176993,388,14776,FISCALIZACIÓN ESPECIAL,0.001391,POSTERIOR,,,,,,0
1-145951839182,198,701,TROUBLE CALL,18.301857,EN VIVO,1,1,1,1,1,0
1-144866829952,166,10278,INSTALACIÓN,5.545097,POSTERIOR,1,1,,,1,0
1-145911005352,245,10546,INSTALACIÓN,56.810084,EN VIVO,1,1,1,1,0.8,0
1-145803709433,118,14372,TROUBLE CALL,19.921733,POSTERIOR,0,0.666666667,,,1,0
1-145926553719,166,10278,TROUBLE CALL,20.753516,EN VIVO,1,1,1,1,1,0
1-145913943185,113,14409,TROUBLE CALL,47.71688,POSTERIOR,1,1,,,1,0
1-141947705127,156,5990,INSTALACIÓN,6.727335,POSTERIOR,1,0.666666667,,,1,0
1-145984836633,388,14776,TROUBLE CALL,17.915359,EN VIVO,1,1,1,1,1,0
1-146006004655,178,712,TROUBLE CALL,4.65276,POSTERIOR,1,1,,,1,0
1-145805904617,242,12002,TROUBLE CALL,14.133509,POSTERIOR,1,1,,,1,0
1-144625432282,195,22161,INSTALACIÓN,19.592547,POSTERIOR,1,0.833333333,,,1,0
1-144681696663,172,700,TROUBLE CALL,42.539196,POSTERIOR,1,1,,,1,0
1-146018965352,167,8516,TROUBLE CALL,36.568051,EN VIVO,1,1,1,1,1,0
1-143812752866,97,704,INSTALACIÓN,32.167474,POSTERIOR,1,1,,,1,0
1-146027458557,242,12002,TROUBLE CALL,56.877049,EN VIVO,1,1,1,1,0.833333333,0
1-146039143644,112,705,TROUBLE CALL,56.531918,EN VIVO,1,1,1,1,0.666666667,0
1-146052488916,100,14407,TROUBLE CALL,35.17167,EN VIVO,1,1,1,1,1,0
1-145990267992,388,7398,TROUBLE CALL,32.980076,EN VIVO,1,1,1,1,1,0
1-146026657360,97,704,TROUBLE CALL,56.36181,EN VIVO,1,1,1,1,1,0
1-144276043494,237,2858,INSTALACIÓN,53.615737,POSTERIOR,1,0.5,,,1,0
1-145665325241,113,28102,TROUBLE CALL,4.36778,POSTERIOR,1,1,,,1,0
1-144120774795,167,693,TROUBLE CALL,15.220733,POSTERIOR,1,1,,,1,0
1-146007672879,195,22161,TROUBLE CALL,10.487043,EN VIVO,1,1,1,1,1,0
1-146005081388,198,701,TROUBLE CALL,3.768311,POSTERIOR,1,1,,,1,0
1-144552464792,140,718,TROUBLE CALL,59.510575,POSTERIOR,1,1,,,1,0
1-145659898301,245,10546,INSTALACIÓN,59.076318,POSTERIOR,1,1,,,1,0
1-145891616775,152,2631,INSTALACIÓN,6.0146,POSTERIOR,1,1,,,1,0
1-145466689722,142,19343,TROUBLE CALL,3.301893,POSTERIOR,1,0.666666667,,,1,0
1-146034648556,237,2858,TROUBLE CALL,36.504096,EN VIVO,1,1,1,1,1,0
1-146052293447,198,701,TROUBLE CALL,24.001193,EN VIVO,1,1,1,1,0.833333333,0
1-146015222518,143,696,TROUBLE CALL,55.091068,EN VIVO,1,1,1,1,0.833333333,0
1-145602355652,156,12578,INSTALACIÓN,48.131266,POSTERIOR,1,1,,,1,0
1-145666477770,152,2631,INSTALACIÓN,55.736083,POSTERIOR,1,1,,,1,0
1-145870858369,398,15954,TROUBLE CALL,0.763465,POSTERIOR,1,1,,,1,0
1-145128098550,167,693,TROUBLE CALL,15.643135,POSTERIOR,1,1,,,1,0
1-145742944226,152,2631,INSTALACIÓN,53.220493,POSTERIOR,1,0.833333333,,,1,0
1-146097058756,100,14407,FISCALIZACIÓN ESPECIAL,0.008834,EN VIVO,,,,,,1
1-144295692162,242,12002,INSTALACIÓN,14.02649,POSTERIOR,0,0.428571429,,,0.5,0
1-146088132848,178,712,TROUBLE CALL,32.906537,EN VIVO,1,1,1,1,1,0
1-145647051382,148,1606,INSTALACIÓN,7.363511,POSTERIOR,1,1,,,1,0
1-145653302669,245,10546,TROUBLE CALL,56.933502,POSTERIOR,1,1,,,1,0
1-144814336086,118,14372,TROUBLE CALL,29.812834,POSTERIOR,1,1,,,1,0
1-146022126301,118,14372,CAMBIO TOTAL DE ACOMETIDA,0.000222,POSTERIOR,1,0.666666667,,,1,0
1-145754739625,152,2631,INSTALACIÓN,58.977691,POSTERIOR,1,1,,,1,0
1-145294349159,347,3561,INSTALACIÓN,16.77333,POSTERIOR,1,1,,,1,0
1-146102944832,242,12002,TROUBLE CALL,20.799807,EN VIVO,1,1,1,1,0.833333333,0
1-145518201730,198,701,TROUBLE CALL,26.802902,POSTERIOR,1,1,,,1,0
1-144813724730,399,18883,TROUBLE CALL,14.480774,POSTERIOR,1,1,,,1,0
1-144999769905,233,715,TROUBLE CALL,20.22723,POSTERIOR,1,1,,,1,0
1-145779938819,152,2631,INSTALACIÓN,53.448312,POSTERIOR,1,1,,,1,0
1-146007672879,195,22161,TROUBLE CALL,10.487043,POSTERIOR,0,0.333333333,,,0,0
1-146108721448,242,12002,TROUBLE CALL,13.819763,EN VIVO,1,1,1,1,0.833333333,0
1-145560151826,189,14461,CAMBIO TOTAL DE ACOMETIDA,0.000214,POSTERIOR,1,1,,,1,0
1-145704065884,388,14776,INSTALACIÓN,23.885727,POSTERIOR,1,1,,,1,0
1-145950188820,388,7398,INSTALACIÓN,12.332406,POSTERIOR,1,0.5,,,1,0
1-146090825298,399,18883,TROUBLE CALL,7.169846,EN VIVO,1,1,1,1,1,1
1-145081956577,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.00042,POSTERIOR,1,1,,,1,0
1-145262626936,403,21262,INSTALACIÓN,5.802068,POSTERIOR,1,0.833333333,,,1,0
1-146025449894,237,2858,TROUBLE CALL,43.748445,EN VIVO,1,1,1,1,1,0
1-144193362262,97,704,INSTALACIÓN,38.035353,POSTERIOR,1,1,,,1,0
1-146083084612,143,696,TROUBLE CALL,50.780152,EN VIVO,1,1,1,1,0.833333333,0
1-145616342601,118,14372,TROUBLE CALL,27.39263,POSTERIOR,1,0.333333333,,,1,0
1-146075084933,388,7398,TROUBLE CALL,32.488689,EN VIVO,1,1,1,1,1,0
1-145201410015,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.000811,POSTERIOR,1,1,,,1,0
1-146013868402,151,1575,TROUBLE CALL,43.895621,EN VIVO,1,1,1,1,1,0
1-146042258307,97,704,FISCALIZACIÓN ESPECIAL,0.000538,EN VIVO,,,,,,1
1-145799442879,167,693,TROUBLE CALL,30.236693,POSTERIOR,1,1,,,1,0
1-145923961461,148,1606,INSTALACIÓN,40.64822,EN VIVO,1,1,1,1,1,0
1-145945129725,156,12578,CAMBIO TOTAL DE ACOMETIDA,0.000469,POSTERIOR,1,1,,,0.5,0
1-146048653197,142,19343,FISCALIZACIÓN ESPECIAL,0.000349,EN VIVO,,,,,,1
1-144305691890,100,14407,CAMBIO TOTAL DE ACOMETIDA,0.000422,POSTERIOR,1,1,,,1,0
1-145945129725,156,12578,CAMBIO TOTAL DE ACOMETIDA,0.000469,POSTERIOR,1,1,,,1,0
1-145708138417,152,2631,INSTALACIÓN,9.943484,POSTERIOR,1,0.833333333,,,1,0
1-144370209337,143,696,TROUBLE CALL,42.793956,POSTERIOR,1,1,,,1,0
1-145608864592,113,14409,INSTALACIÓN,16.606611,POSTERIOR,1,0.5,,,1,0
1-145836163571,157,11964,CAMBIO TOTAL DE ACOMETIDA,0.000419,POSTERIOR,1,1,,,1,0
1-145737198620,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.000244,POSTERIOR,1,0.75,,,1,0
1-145300877582,403,21262,INSTALACIÓN,17.147326,POSTERIOR,1,1,,,1,0
1-145561034826,156,2530,INSTALACIÓN,26.305914,POSTERIOR,1,1,,,1,0
1-146032079712,167,693,FISCALIZACIÓN ESPECIAL,0.000627,EN VIVO,,,,,,1
1-145965577756,178,712,TROUBLE CALL,12.608041,POSTERIOR,1,1,,,1,0
1-145773801979,161,3350,FISCALIZACIÓN ESPECIAL,0.00033,POSTERIOR,,,,,,0
1-145425556164,161,3350,TROUBLE CALL,23.589016,POSTERIOR,1,1,,,1,0
1-146179516912,108,14406,FISCALIZACIÓN ESPECIAL,0.009574,EN VIVO,,,,,,1
1-146036178016,157,11964,TROUBLE CALL,48.369945,EN VIVO,1,1,1,1,0.833333333,0
1-145497013657,108,14406,INSTALACIÓN,40.180615,POSTERIOR,1,1,,,1,0
1-145472406972,347,3561,INSTALACIÓN,49.156037,POSTERIOR,1,1,,,0,0
1-145605236840,237,2858,INSTALACIÓN,5.043017,POSTERIOR,1,0.666666667,,,1,0
1-146099466340,388,14776,INSTALACIÓN,21.225159,POSTERIOR,1,1,,,1,0
1-146287404457,161,10287,TROUBLE CALL,10.372523,EN VIVO,1,1,1,1,1,0
1-146301748896,237,2858,TROUBLE CALL,52.905091,EN VIVO,1,1,1,1,1,0
1-146274342092,100,14407,CAMBIO TOTAL DE ACOMETIDA,0.000215,POSTERIOR,1,1,,,1,0
1-145594354421,347,3561,INSTALACIÓN,38.756469,POSTERIOR,1,1,,,1,0
1-144815720474,178,712,CAMBIO TOTAL DE ACOMETIDA,0.000215,POSTERIOR,1,1,,,1,0
1-146313678154,399,18883,FISCALIZACIÓN ESPECIAL,0.005494,EN VIVO,,,,,,1
1-145671456200,347,1786,INSTALACIÓN,19.075209,POSTERIOR,1,1,,,1,0
1-146387626625,388,14909,TROUBLE CALL,25.512101,EN VIVO,1,1,1,1,1,0
1-146261404786,100,14407,TROUBLE CALL,34.52074,POSTERIOR,0,0.666666667,,,1,0
1-146333288966,143,696,TROUBLE CALL,53.064244,EN VIVO,1,1,1,1,0.833333333,0
1-145411794306,242,12002,TROUBLE CALL,33.159298,POSTERIOR,1,1,,,1,0
1-145515305272,347,3561,INSTALACIÓN,4.161839,POSTERIOR,0,0.833333333,,,0,0
1-146325390742,178,712,TROUBLE CALL,11.583453,EN VIVO,1,1,1,1,1,0
1-145656774071,152,2631,INSTALACIÓN,57.54688,POSTERIOR,1,1,,,1,0
1-146329147696,112,705,FISCALIZACIÓN ESPECIAL,0.000369,EN VIVO,,,,,,1
1-146328948332,167,693,TROUBLE CALL,16.912997,EN VIVO,1,1,1,1,1,0
1-145590323332,388,14776,INSTALACIÓN,23.184892,POSTERIOR,1,1,,,1,0
1-146332413304,113,28102,TROUBLE CALL,22.731723,EN VIVO,1,1,1,1,1,0
1-146207233658,143,696,CAMBIO TOTAL DE ACOMETIDA,0.000441,POSTERIOR,1,1,,,1,0
1-144413081032,156,5990,INSTALACIÓN,25.117428,POSTERIOR,1,1,,,1,0
1-144674889815,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.000207,POSTERIOR,1,1,,,1,0
1-144674889815,388,14909,TROUBLE CALL,17.252373,POSTERIOR,1,1,,,1,0
1-146337480436,403,21262,TROUBLE CALL,46.652689,EN VIVO,1,1,1,1,1,0
1-145979882983,198,701,TROUBLE CALL,48.032797,POSTERIOR,1,1,,,1,0
1-146345624979,167,8002,FISCALIZACIÓN ESPECIAL,0.010806,POSTERIOR,,,,,,0
1-146137155882,113,14409,TROUBLE CALL,35.2046,POSTERIOR,1,0.333333333,,,1,0
1-146336458202,399,18883,INSTALACIÓN,35.465576,POSTERIOR,1,1,,,1,0
1-146322801651,161,3350,TROUBLE CALL,21.876721,EN VIVO,0.6,1,1,1,0.833333333,0
1-145922237142,166,14216,INSTALACIÓN,4.465086,POSTERIOR,1,1,,,0,0
1-144350684606,154,717,INSTALACIÓN,36.80556,POSTERIOR,1,0.666666667,,,1,0
1-146373095024,185,7987,FISCALIZACIÓN ESPECIAL,0.029243,EN VIVO,,,,,,1
1-146298972627,154,717,TROUBLE CALL,36.996326,EN VIVO,1,1,1,1,0.833333333,0
1-146078457554,167,8516,TROUBLE CALL,25.417374,POSTERIOR,1,1,,,1,0
1-146234437443,112,705,TROUBLE CALL,32.068345,EN VIVO,1,1,1,1,0.833333333,0
1-145734534040,347,1786,INSTALACIÓN,38.216318,POSTERIOR,1,1,,,1,0
1-146266068582,305,14228,INSTALACIÓN,27.940178,EN VIVO,1,1,1,1,0.8,0
1-145656509152,347,1786,INSTALACIÓN,34.991472,POSTERIOR,1,1,,,1,0
1-145237952352,157,11964,INSTALACIÓN,2.328234,POSTERIOR,1,1,,,0,0
1-144459779702,403,21262,INSTALACIÓN,12.48735,POSTERIOR,1,1,,,1,0
1-146178820581,242,716,TROUBLE CALL,18.30343,EN VIVO,1,1,1,1,0.833333333,0
1-146098954326,399,18883,INSTALACIÓN,32.040698,POSTERIOR,1,1,,,1,0
1-145597818342,151,1575,FISCALIZACIÓN ESPECIAL,0.005878,POSTERIOR,,,,,,0
1-145837274524,166,10278,TROUBLE CALL,49.413405,POSTERIOR,1,1,,,1,0
1-145790220606,347,3561,INSTALACIÓN,7.523546,POSTERIOR,1,1,,,1,0
1-146088698377,148,1606,INSTALACIÓN,34.820295,POSTERIOR,0,1,,,1,0
1-146276262182,113,14409,TROUBLE CALL,8.007815,EN VIVO,1,0.8,1,1,0.833333333,0
1-146120659992,140,718,INSTALACIÓN,46.558501,POSTERIOR,1,1,,,1,0
1-145601363143,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.006278,POSTERIOR,1,1,,,1,0
1-146310472982,195,22161,TROUBLE CALL,34.233848,POSTERIOR,1,1,,,1,0
1-145320680933,172,700,INSTALACIÓN,26.982959,POSTERIOR,1,1,,,1,0
1-144259621852,113,28102,INSTALACIÓN,15.410259,POSTERIOR,1,1,,,1,0
1-146179537741,135,1361,TROUBLE CALL,51.345702,EN VIVO,1,1,1,1,1,0
1-145898518632,398,15954,INSTALACIÓN,26.660508,POSTERIOR,1,1,,,1,0
1-145668462177,399,18883,INSTALACIÓN,42.011843,POSTERIOR,1,1,,,1,0
1-146233725691,140,718,TROUBLE CALL,39.868598,EN VIVO,1,1,1,1,1,0
1-145526009335,118,14372,TROUBLE CALL,49.261109,POSTERIOR,1,1,,,0.5,0
1-146248629356,388,14909,FISCALIZACIÓN ESPECIAL,0.021433,EN VIVO,,,,,,1
1-146228894905,388,14776,CAMBIO TOTAL DE ACOMETIDA,0.000389,POSTERIOR,1,1,,,1,0
1-146269700854,143,696,TROUBLE CALL,40.907763,EN VIVO,1,1,1,1,0.833333333,0
1-146077687302,245,10546,INSTALACIÓN,38.894983,POSTERIOR,1,1,,,1,0
1-146048644655,161,10287,TROUBLE CALL,9.483059,POSTERIOR,1,1,,,1,0
1-146019099964,118,14372,TROUBLE CALL,39.299414,POSTERIOR,1,0.666666667,,,1,0
1-146177571784,161,10287,TROUBLE CALL,57.667533,EN VIVO,1,1,1,1,1,0
1-145093837060,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.000362,POSTERIOR,1,0.666666667,,,1,0
1-146186919729,233,715,INSTALACIÓN,17.392809,POSTERIOR,1,1,,,1,0
1-144019537294,347,1786,INSTALACIÓN,22.998543,POSTERIOR,1,1,,,1,0
1-145707953381,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.01485,POSTERIOR,1,0.666666667,,,1,0
1-145880536065,139,706,TROUBLE CALL,4.717853,EN VIVO,0.8,1,1,1,1,0
1-145494944674,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.000235,POSTERIOR,1,0.666666667,,,1,0
1-146100054838,100,14407,CAMBIO TOTAL DE ACOMETIDA,0.004208,POSTERIOR,1,1,,,1,0
1-145377532462,156,5990,INSTALACIÓN,43.47443,POSTERIOR,1,1,,,1,0
1-144529867639,161,10287,INSTALACIÓN,53.813807,POSTERIOR,1,1,,,1,0
1-145835895739,347,3561,INSTALACIÓN,15.16847,POSTERIOR,1,1,,,1,0
1-146094914692,161,3350,CAMBIO TOTAL DE ACOMETIDA,0.004891,POSTERIOR,1,1,,,1,0
1-145667189092,113,14409,TROUBLE CALL,15.650314,POSTERIOR,0,1,,,1,0
1-145960886548,157,11964,TROUBLE CALL,30.835675,POSTERIOR,1,1,,,0.5,0
1-146527262751,388,663,TROUBLE CALL,29.201544,EN VIVO,1,1,1,1,1,0
1-146323214452,398,15954,INSTALACIÓN,10.629349,POSTERIOR,1,0.833333333,,,1,0
1-146494157076,135,1361,TROUBLE CALL,55.818602,EN VIVO,1,1,1,1,1,0
1-146524611037,198,701,TROUBLE CALL,52.029494,EN VIVO,1,1,1,1,1,0
1-146218382607,398,15954,TROUBLE CALL,12.818721,POSTERIOR,1,1,,,1,0
1-146074479974,139,706,TROUBLE CALL,40.301496,POSTERIOR,0,1,,,0.5,0
1-146520833076,118,14372,CAMBIO TOTAL DE ACOMETIDA,0.000215,POSTERIOR,1,1,,,1,0
1-146520833076,118,14372,TROUBLE CALL,20.648318,POSTERIOR,1,1,,,1,0
1-145065476912,166,14216,INSTALACIÓN,13.400359,POSTERIOR,1,1,,,1,0
1-146547156037,161,3350,FISCALIZACIÓN ESPECIAL,0.000674,EN VIVO,,,,,,1
1-146172171002,178,712,INSTALACIÓN,8.686222,POSTERIOR,1,1,,,1,0
1-146302573605,388,14776,INSTALACIÓN,39.310796,POSTERIOR,1,1,,,1,0
1-146539889981,166,14216,TROUBLE CALL,59.306181,EN VIVO,1,1,1,1,1,0
1-146487510824,399,18883,FISCALIZACIÓN ESPECIAL,0.012775,EN VIVO,,,,,,1
1-146156010569,142,19343,INSTALACIÓN,47.674103,POSTERIOR,1,1,,,0,0
1-146424106266,388,663,CAMBIO TOTAL DE ACOMETIDA,0.000547,EN VIVO,1,1,1,1,1,1
1-146491765426,166,14216,TROUBLE CALL,26.340651,EN VIVO,1,1,1,1,1,0
1-146548985632,305,14228,TROUBLE CALL,28.015164,POSTERIOR,1,1,,,1,0
1-146540445545,178,712,TROUBLE CALL,23.688531,EN VIVO,1,1,1,1,1,0
1-146454866435,139,706,TROUBLE CALL,23.084478,POSTERIOR,1,0.666666667,,,0,0
1-146535117212,398,15954,INSTALACIÓN,45.213545,EN VIVO,1,1,1,1,1,0
1-146488445468,198,701,CAMBIO TOTAL DE ACOMETIDA,0.000344,EN VIVO,1,1,1,1,1,1
1-146231193982,100,14407,TROUBLE CALL,27.679876,POSTERIOR,1,1,,,1,0
1-146511747222,100,14407,CAMBIO TOTAL DE ACOMETIDA,0.000265,EN VIVO,1,1,1,1,1,1
1-146557550523,185,7987,TROUBLE CALL,40.318248,EN VIVO,0.6,0.8,1,1,1,0
1-145459559514,245,10546,TROUBLE CALL,42.144586,POSTERIOR,1,0.666666667,,,0.5,0
1-146310428822,185,7987,TROUBLE CALL,2.039843,POSTERIOR,1,1,,,1,0
1-146490234740,112,705,CAMBIO TOTAL DE ACOMETIDA,0.000202,EN VIVO,1,1,1,1,0.833333333,1
1-146490234740,112,705,FISCALIZACIÓN ESPECIAL,0.004856,EN VIVO,,,,,,1
1-145303351127,388,663,INSTALACIÓN,51.342223,POSTERIOR,0,1,,,1,0
1-146477650925,112,705,TROUBLE CALL,29.236827,EN VIVO,1,1,1,1,0.833333333,0
1-146486392886,178,712,TROUBLE CALL,34.589247,EN VIVO,1,1,1,1,1,0
1-146440283704,109,24323,TROUBLE CALL,28.950219,EN VIVO,1,1,1,1,1,0
1-145835709242,97,704,INSTALACIÓN,11.947971,POSTERIOR,1,0.166666667,,,0,0
1-146485228715,167,8516,TROUBLE CALL,41.413971,EN VIVO,1,1,1,1,1,0
1-146467063844,185,7987,INSTALACIÓN,15.559778,POSTERIOR,1,0.5,,,0,0
1-146466482682,388,14776,INSTALACIÓN,41.119133,POSTERIOR,1,1,,,1,0
1-144608010678,97,704,TROUBLE CALL,27.100479,POSTERIOR,1,1,,,1,0
1-146112776635,156,5990,INSTALACIÓN,49.817538,POSTERIOR,1,0.666666667,,,0,0
1-145776697611,154,717,FISCALIZACIÓN ESPECIAL,0.000449,POSTERIOR,,,,,,0
1-144353244707,166,14216,TROUBLE CALL,46.640234,POSTERIOR,1,1,,,1,0
1-145193098654,143,696,FISCALIZACIÓN ESPECIAL,0.000576,POSTERIOR,,,,,,0
1-145193098654,143,696,INSTALACIÓN,15.891063,POSTERIOR,1,0.833333333,,,1,0
1-146355599032,148,1606,INSTALACIÓN,6.786371,EN VIVO,1,1,1,0,1,1
1-146220152932,161,3350,TROUBLE CALL,37.811023,POSTERIOR,1,1,,,1,0
1-145979683748,156,5990,INSTALACIÓN,29.128315,POSTERIOR,1,1,,,0,0
1-146487413698,185,7987,TROUBLE CALL,57.813489,EN VIVO,1,1,1,1,1,0
1-146176000733,112,705,INSTALACIÓN,58.900467,POSTERIOR,1,0.333333333,,,1,0
1-145638067262,167,8516,INSTALACIÓN,52.966934,POSTERIOR,1,0.666666667,,,0,0
1-146442329842,195,22161,CAMBIO TOTAL DE ACOMETIDA,0.004855,POSTERIOR,1,1,,,1,0
1-144775842292,198,701,INSTALACIÓN,43.722789,POSTERIOR,1,1,,,1,0
1-144578925106,245,10546,TROUBLE CALL,17.77564,POSTERIOR,1,1,,,1,0
1-146462069914,154,717,TROUBLE CALL,14.226938,EN VIVO,1,1,1,1,0.833333333,0
1-146486870683,172,700,TROUBLE CALL,59.673462,EN VIVO,1,1,1,1,1,0
1-145061082202,388,14909,INSTALACIÓN,35.297175,POSTERIOR,1,1,,,1,0
1-145458665242,140,718,INSTALACIÓN,36.026498,POSTERIOR,1,0.285714286,,,1,0
1-144965907972,161,10287,FISCALIZACIÓN ESPECIAL,0.000336,POSTERIOR,,,,,,0
1-146476300987,143,696,TROUBLE CALL,26.497273,EN VIVO,1,1,1,1,0.833333333,0
1-145462636132,100,14407,INSTALACIÓN,4.270997,POSTERIOR,1,0.833333333,,,1,0
1-146339711206,347,3561,INSTALACIÓN,51.164842,POSTERIOR,1,1,,,1,0
1-145534374221,151,1575,CAMBIO TOTAL DE ACOMETIDA,0.000393,POSTERIOR,1,1,,,1,0
1-146244760659,233,715,FISCALIZACIÓN ESPECIAL,0.006678,EN VIVO,,,,,,1
1-146429565111,100,14407,FISCALIZACIÓN ESPECIAL,0.000757,EN VIVO,,,,,,1
1-146083446015,143,696,TROUBLE CALL,36.739882,POSTERIOR,1,1,,,1,0
1-146413527486,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.007511,EN VIVO,1,1,1,1,1,1
1-146413527486,388,14909,TROUBLE CALL,15.555107,EN VIVO,1,1,1,1,1,0
1-146392880408,403,21262,TROUBLE CALL,14.351046,EN VIVO,1,1,1,1,1,0
1-146368895395,167,8516,TROUBLE CALL,56.302392,EN VIVO,1,1,0,1,1,0
1-146219776472,156,5990,INSTALACIÓN,10.408966,POSTERIOR,1,0.666666667,,,0,0
1-145731703376,139,706,INSTALACIÓN,57.328583,POSTERIOR,1,0.333333333,,,0,0
1-146244953386,142,19343,TROUBLE CALL,19.04298,POSTERIOR,0,1,,,1,0
1-145712862867,156,5990,INSTALACIÓN,28.251402,POSTERIOR,1,1,,,0,0
1-146416430051,237,2858,TROUBLE CALL,51.651725,EN VIVO,1,1,1,1,1,0
1-145601664084,388,14909,CAMBIO TOTAL DE ACOMETIDA,0.008394,POSTERIOR,1,1,,,1,0
1-146411178729,237,2858,FISCALIZACIÓN ESPECIAL,0.000295,EN VIVO,,,,,,1
1-146410568018,201,703,FISCALIZACIÓN ESPECIAL,0.000279,EN VIVO,,,,,,1
1-146410568018,201,703,TROUBLE CALL,44.539765,EN VIVO,1,1,1,1,1,0
1-146248798212,178,712,INSTALACIÓN,39.992046,POSTERIOR,0,0.833333333,,,1,0
1-146416388619,112,705,FISCALIZACIÓN ESPECIAL,0.016129,EN VIVO,,,,,,1
1-146307703182,201,703,INSTALACIÓN,34.487564,POSTERIOR,1,0.5,,,1,0
1-146074761879,152,2631,INSTALACIÓN,41.482424,POSTERIOR,1,1,,,1,0
1-146165579943,113,28102,INSTALACIÓN,25.838235,EN VIVO,1,1,1,1,1,0
1-146243142335,171,8221,TROUBLE CALL,35.691895,EN VIVO,1,1,1,1,1,0
1-146013346225,237,2858,INSTALACIÓN,45.621988,POSTERIOR,1,0.5,,,1,0
1-145799911741,166,10278,TROUBLE CALL,20.819957,POSTERIOR,1,1,,,1,0
